start	end	text
0	21200	सुर्णगी रुसी आस्रम, महारानी अस्तान बहडिया स्तान, सुर्य मंदीर, बाला त्रिपुरा सुन्री स्तान, जलब पास्तान, ये सब भी को प्रणाम करकर मेरी बात की सुरुआत करता हूँ
21200	39020	आज मैं लखी सराय आया हूँ तब, बिहार के पहले मुख्यमंत्री, बिहार के स्री, स्रीकृष्ण बाबु को भी मन पूर्वक प्रणाम करना चाहता हूँ
39020	50300	स्रीकृष्ण बाबु ने ही, चैदा साल तक, बिहार के विकास की नीव रखने का काम किया
50300	61460	स्रीकृष्ण बाबु के समय में ही, बिहार भारत के प्रमूख राज्यों में से एक राज्य बना
61460	72400	जिसको आगे चल कर लालू रबडी ने जंगल राज से बरबाद कर दिया, जंगल राज से बरबाद
72400	84660	भाईयों बेनो 6 नवंबर को मत्तान है, आप सभी को कमल और तीर के निसान पर बटन दबाना है
84660	98440	मगर आप ऐसा सोच कर मत दबाईयेगा, कि आपके वॉट से कोई विदायक बनेगा, कोई मंत्री बनेगा, कोई उपमुक्य मंत्री बनेगा
98440	110120	आप इस समझ कर वॉट दीजेगा, आपका एक एक वॉट नितिजी और मोदी जी के नेत्रुतों में
110120	114720	विक्सित बिहार बनाने के लिए वॉट है विक्सित बिहार
114720	119540	जंगल राज को रोकने वारा बोर वॉट है
119540	124840	और भाईयों बेनों मैं तो जीसी जीले में जाता हूँ
124840	132380	वो सभी जीलों में कहते हैं भाई साब हमारे प्रत्यासी को मंत्री बना देना
132380	142620	और लखी सराइवारणों आपको तो हमने बना बनाया उप मुक्य मंत्री आपके यहां बेद दिया है
142620	154580	भाईयों बेनों ए लखीरी सराइगा सिंदूर और गुलाल दोनों बहुत प्रसीद है
154580	159620	प्रसीद है ना भाई अरे जोर से बोलो है ना
159620	169540	सिंदूर और गुलाल दोनों इस चुनाओं में बहुत महत्यों पूर्ण पदार्थ
169540	178720	मैं आज आपको बताने आया हूं ए लालू और सोनियागी की सरकार थी
178720	190140	केंद्र भे उसने इस देश में आतंकवाद के लिए अपनी वोट बेंक के लिए लचिला स्टेंड रखा था
190140	203820	आये दिन पाकिस्तान से आये हूए आतंकवादी खुन खराबा करते थे अपनी धर्ती को लव लुआन करकर चले जाते थे
203820	215400	कोई कूछ नहीं बोलता थे दोजार चौदा में आप सभी ने नरेंदर मोदीधी को ब्रदान मंत्री बनाया
215400	234780	और उसके बाद जीतने भी जीतने भी आतंकी हमले हुए पहले सर्जीकल स्ट्राइक की फिर एर्श्ट्राइक की और पहल गाउं में जब हमला हुआ
234780	247340	आप्रेशन सिंदूर करकर पाकिस्तान के घर में घुश कर अतंकीों का सफाया करें यह लखी सराई का सिंदूर
247340	259960	यहां क्या जो सिंदूर है वो सिर्फ सिंदूर नहीं है हमारी माता और बेहनों का सौभाग्य का निसान है
259960	274720	और मोदी जी ने वो यात्रियों का बद्दा लेने के लिए जो ओप्रेशन चलाया इसको ओप्रेशन सिंदूर नाम देकर
274720	281740	हमारी माता बेहनों का सन्मान पूरे विश्व में बढ़ाने का काम किया है
281740	289540	मोदी जी के सासन में ये देश नकसलवाद मुक्त हो रहा है
289540	298220	आतांकवाद से मुक्त हो चुका है और ब्रश्टा चार से भी मुक्त हो चुका है
298220	323820	भायो बेनो लखी सराई का एक एक वोट लसी सराई का एक एक वोट जंगल राज की मुक्ति नकसलवाद की समाप्ति और आतांकवाद के खिलाप द्रड़ अभियान के लिए कमल के फूल और तीर के निसान पर देना है
323820	329360	मुझे बताईए भायो बेनो आप लोग देंगे या नहीं देंगे
329360	334880	भायो बेनो मैं आपको बताने आया हूँ
334880	342660	2005 के पहले पूरा बिहार जंगल राज की चटपेट में था
342660	347560	सारे उद्योग बंद, व्यापार बंद, धंदे बंद, ट्रेडिंग बंद
347560	353220	एक ही धंदा चल रहा था अपहरण और फिरोती
353220	358880	जगन्य अत्याकांड होते थे, नरसंगार होते थे
358880	363800	खून, अपहरण, फिरोती, चरम सिमा पड़ था
363800	374800	और किसके राज में था, लालू रबडी के राज में, था या नहीं था भई, बताओ दो जरा, जोर से माता है बेने भी बताए, था या नहीं था
374800	393800	मैं आपको बताना चाहता हूँ, आपने नितीस बाबू के हाथ में बिहार का सासन दिया, नितीस बाबू ने जंगल राज को समाप्त कर दिया, समाप्त कर दिया
393800	422900	और बिहार के अंदर नए विकास की सुरुवात, मैं आज आपको कह कर जाता हूँ, एक और बार NDA की सरकार बनाईए, यह जो नीव, मोदी जी और नितीस जी ने डाली है, वो नीव पर एक बड़ी इमारत खड़ी करने का काम हमारी सरकार करेगी
