start	end	text
0	30000	पुल्दाबा यहां हमारे साथ सभी पार्टी के महागडबंधन के नेता पदधिकारी कारिकर्ता और अरलॉली से जिनको आधरनियन लालू जी ने राहुल गांदी जी ने मुके सानी जी ने आईपी गुपता जी ने हम सब लोगों ने महागडबंधन का प्रत्याशी बनाया
30000	60000	अभिवावक है तेजेश्वी यही से पैर छू करके आप सब लोगों को पड़ाम करता है माताएं बेने को यही से नमस्कार करता है और नौजवान को यही से गले लगाता है देगे चुनाओं का भिगुल जो है फुका गया है रामरिक्ष चदाजी को दुबारा पार्टी �
60000	90000	आप आदी रामरिक्ष चदाजी को पार्टी ने दुबारा टिकेट दिया है इंट पर भड़ो सा जिताया है आज तेजश्वी आप लोगों के बीच आया है आप लोगों से अपील करने के एक एक वोट जो है लाल टेन पर बटन दबा करके रामरिक्ष चदाजी को जिताने
90000	108660	बहुत लोगों को नराजगी हो सकती है खुशी हो सकती है लेकिन जब तेजश्वी को भाजबा के नेता विधान सबा में मा बहन की गालिया दे रहते हैं तो ये रामरिक्ष चदाज सबसे आगे खड़ाओ करके उन लोगों को मूँ तोर जवाब दे रहा था
108660	109580	अब
109580	120280	इनसे कोई भी भूल चुक हुई हो इनके बदले तेजश्वी हाँ चोड़ करके माफी माँगने का काम करता है
120280	132900	और हम देखे केवल सरकार बनाने के लिए केवल मुक्य मंतरी उपमुक मंतरी बनने के लिए विधायक बनने के लिए यहा नही आए
133820	136940	तेज़श्वी को एक कसक है बिहारी होने के नाते
136940	140960	तेज़श्वी को बिहार
140960	148920	हमारी एक किसा कि कि बिहार को 33 नंबर वन बनाने का काम करेगा
148920	153500	केवल सरकार नहीं बनाना है
153500	159460	बलकि अलॉली खगडिया बिहार बनाने का काम करना है
160460	163420	कितना यहाँ किसान हमारे तबाह है
163420	167140	जुलाई से लेकर के दिसंबर तक
167140	170420	चल्जबहों की सबसे बड़ी समस्या है
170420	176500	है कि ले किसानों को कितना मुश्किल होता कठिनाई होती है
176500	182080	आας तक कोई आया मुक्य मंतरी परधान मंतरी आप लोगों का सूधले ने
183400	186940	तेज़सवी वादा करता कि हमारी सरकार बनेगी
186940	191200	तो किसानों की जो जल्जमाओ की समस्या होती है
191200	198700	अच्छे से निकासी यानि ड्रेनच सिस्टम की विवस्ता लौली में तेज़स्वी कराने का काम करेगा
198700	203280	ताकि किसानों का आई दुगना हो अच्छे से फसल का उत्पादन हो
203280	207440	बताएए बीस साल से मुख्यमंतरी नितीश कुमार जी है
207440	213820	एक ग्यारा साल से देश के प्रधान मंतरी नरिंदर मोदी जी है
213820	222840	लेकिन बीस सालों में भी एक डिगिरी का कॉलेज बताएए दो अलौली में अगर खोला हो तो
222840	226620	कहां जाते हैं आप लोग पढ़ाई करने
226620	235060	बाहर बाहर आपको कैसा लोली चाईए कि बाहर जाने वला कि
235060	240100	यही आपको विश्वित्या ले चाहिए यही डिगिरी को लेच चाहिए
240600	245200	अस्पटाल जाते होंगे तो बोलता हो रेफर रेफर रेफर रेफर
245420	247500	खाली रेफर है
247500	250860	साब दमाचोरी हो रहा है
250860	257960	कहीं दॉक्टर डॉक्टर नहीं दिखता होगा कहीं दवा नहीं मिलता होगा
257960	260380	तो जाहिए पटरना रेफर हो जाही है
260380	265860	कहीं कोई पढ़ाई की में बस्था नहीं तवाई की में बस्था नहीं
266820	269920	कौनो कार खाना खोल दी है क्या मोधी जीनी टीशकुमार जी
269920	286960	अगर मुक्यमंत्री बनेगा बनाईएगा अपने भाई बेटे को सम्माल दीजेगा
287100	296580	और तेज़स्वी जब मुक्यमंत्री बनेगा तो बिहार में जिस परिवार के पास सरकारी नौकरी नहीं है
296580	301840	उस परिवार को एक सरकारी नौक्री तें जस्वी दिलाने का काम करेगा
303720	307900	हम कहते थे 2020 में कि 10 लाख नौक्री देंगे
307900	311800	बहिमानी से इन लोगों ने सरकार नहीं बनने दिया
311800	317500	लेकिन जब हम 17 महिने सरकार में आये
317500	321980	तो 5 लाख लोगों को सरकारी नौक्री देने का काम किया
326580	335400	का दर्जा दिया सारे तीन लाख नौकरी प्रक्रियाधीन हम लोगों कराने का काम किया किया कि नहीं किया
337140	348000	नहीं नकल्ची सरकान उसमें कहते ते कहां से देगा और संभाव है अपन बाभू के पास लाग के पैसा बेतन बातेगा
348000	357700	किये कि नहीं किये नौकरी मिला कि नहीं मिला सिख्षक का भाली हुआ कि नहीं हुआ भाली निकलने लगा कि नहीं निकलने लगा
357980	366680	बीपीच्ची से भाली होने लगा पहले बीपीच्ची से नहीं होता था इसलिए कराया गया कि हमारे जो बाल बच्चे
366680	376760	उनका भविश बहतर बने अच्छा सिक्षक्ट मिले अच्छा गुरू मिले ताकि बच्चा सब पर लिकर के बड़ा बड़ा आदमी बने बिहार कर नाम रोशन करे
376760	387420	लेकिन का इतना अपराद बढ़ गया बरस्टा चार पर आईए थाना चले जए ब्लोक चले जए बिना घूँज दिये कोई काम होड़ा है
387420	399580	हर घर जल से नल से चली ओजना कितना घुँज खोड़ी हुई थाना ब्लोक चले जए घुँज दो तो काम होगा
399580	407520	दाखिल खारीज गेर जो आपका क्या बोलते हूशको तोपो लन
407520	419760	गेर गेर मजरूआ जो जमीन है रशीद कट्रा है नाहीं कट्रा सर्वे लोग कराया
419760	427640	लैन्ड सर्वे कराया दाखिल खारीज कराओ तो उसमें घुँज खोड़ी कहीच चले जए तो घुँज खोड़ी
429580	437960	एक मिरीव को बार है कितना लोगों को घूजने नब बता लेकिन उसकता गरीब का बच्चा का हत्या हो जाता है पायाइर जल्दी नहीं लेता है लोग
450580	457200	मेंच नहीं होता धूर को नगतार अपराध जो है बर्रहा लेकिन सुनुआई और कारवाई
457200	464740	नहीं हो ही हैं गरीब की सुनवाई नहीं होती है गरीब बचरा लाचार अंतिम पैदान पे
464760	470820	खड़ा है हम लोगों को मौका दीजिए गरीब का राज लाएंगे गरीब का जनता का सरकार
470820	476300	बनाएंगे जहां आप लोगों की चंटा करने की जरुत नहीं जब तेजस्वी
476300	484920	यानि चिंता मुख्थ बनाएंगा आप सब लोगों को
484920	496640	चिन्ता मुख्थ सबको चिंता मुख्द करने का मा काम करेगा हर जाती हर धर्म हर द्रूब के लोगों को दिस्भी साथ ले करके
496640	526640	चलेगा माताई वेनो जो तेजश्वी कह रहा है वही ये सरकार जो है दकल कर रही है हम बोले पैंशन बढ़ाएंगे तो 20 साल से इस सरकार को याद नहीं आना था कि 400 से भी जादा एक रुपया बढ़ा दे 400 से जब तेजश्वी बोला 1500 हम करेगे पैंशन तो ये सरकार कहती है
526640	539820	सवासओ योनिट फ्री में फिली देगाने न करलो तो ढंक से कर लेते हैं हम बोले 1500 को तो गयारा सो कर रहे हो हम बोले 200 प्री तो सवासओ यूनिट कर रहे हो
539820	569820	कब से कब 300 उनिक फ्री कर देते, 2000 रुपया पेंशन कर देते, लेकिन ये लोग करने वाले नहीं है, ते जश्वी बोला कि माई बहन मा नियोजना लाएंगे, माई बहन मा नियोजना, उधार नहीं होगा 10,000 वाला, इस चुनावी प्रलोभन नहीं होगा, रिश्वत नहीं हो�
569820	599820	है, क्योंकि ते जश्वी ने माई बहन की बात की, मान योजना की बात की, ते जश्वी आएगा, तो उधार नहीं देगा, मदद करेगा इस महंगाई से लर्दे के लिए, आज हमारी माताई बहने नया सारी खरीदने में सोचती है, घर में परिवार में कोई बिमार पर जा�
599820	629820	साल में 30,000 रुपया, 5 साल में 1,500,000 रुपया हम लोग माताई मेनों को, गडीब माताई मेनों को देंगे, अई सरकार तो चुन-चुन करके दे रहा है, फिर वह सूलेगा 10,000, बच करके रहेगा, ते जश्वी पहले ही चेता रहा है, 20 साल से इन लोगों को याद नहीं आ र
629820	648920	10,000 कितना दिन चलता है कितना दिन चलेगा लेकिन दिजश्वी जब हर परिवार को सरकारी नौकरी देगा तो इस्परिवार का कितना समस्याद दूर हो जाएगा
648920	678920	जिन्दिगी भर का समस्या दूर हो जाएगा हम आगे का सोच रहे हैं इन लोगों खाली ठागने का काम कर रहा है इसलिए आप सब लोगों से हम अपील करेंगे कि एक जुट रही है जितने सन्विदा कर्मी हैं सब को पर्मनेंट किया जाएगा जितने आउट्सोर्सिक वाले ह
678920	708920	रुपया मान दे देगा पांच लाग का भीमा कराने का काम करेगा चिंता करने की दुरत नहीं बेरोज़कारी को दूर करना है कि नहीं करना है तेज़श्वी का साथ मिल करके बिहार बनाईएगा बहुत लोग आएगा है ने उने ओमित अंभीत शा जी बोले कि बिहार में �
708920	738920	20 साल में नहीं हुआ तेज़श्वी 20 महिना में करके दिखाने का काम करेगा तेज़श्वी की उम्र कच्ची है लेकि जुबान पक्की है जो कहा वो किया जो कह रहे हैं वो करके जाएंगे इन बात पाईयों को हम लोगों को सबख सिखाने का काम करना आज नितीजी की स्थि
738920	750980	अमित्षा जो है बरबात कर रहे है हाईजैक कर लिए है आप लोगों को टैक करना कि बिहार का लाल बिहार को चलाएगा कि बाहरी आकर कि बिहार को चलाने का काम करेगा
750980	754360	एक हो बार बार आता है कुछ होता है
754360	756420	सुकार आता है कुछ होता है
756420	758000	आफ़ा होती है
759080	761400	एक बार भी लोग आशु पूछना आया
761400	764900	एख लोग नहीं आएगा लेकिन तैंजश्वी जरूर आएगा
764900	766600	आप लोग आशु पूछना
766600	768140	एक मौका बस
768140	771080	एक मौका मिलेगा की नहीं मिलेगा तेज़वी को
771080	774460	और जो लोग भाई राम जिल जी से सदा
774460	778340	जी से जो लोग नराज़गी अगर रखते हों
778340	780200	तो बड़ा सोची जी
780200	782180	सरकार बनाना
782180	784460	बेरोजगारी को दूर करना
784460	787020	पिहार को बनाने का काम करना
787020	789060	यह मौका नहीं चुबना है
789060	791280	समझे कि तेजस्वी याद भी
791280	793660	अलॉली से चुडाउन लगने का काम कर रहा है
793660	797780	तो आप लोगों का प्यार मिलेगा ना
797780	799840	तो भोट कब है
799840	801100	छोग नोमबर
801100	804580	छोग नोमबर को टकाटाक ठाक
804580	809020	टकाटाक टकाटाक टकाटाक टकाटाक
809020	811240	लाल्टें पर चुब Чआप
811240	813720	चुब चप
813720	815680	इधर पढ़ेगा
815680	817780	खटा-खट, खटा-खट, खटा-खट
817780	818580	खटा-खट
818580	820580	लाल्टें पर
820580	823100	इधर जब खटा-खट होगा
823100	825420	तो फटा-फट, फटा-फट भास पा भागेगा
825420	827220	भागाईए
827220	828780	20 साल देख के लिए
828840	830080	किया किया
839020	851200	प्रश्टा इन लोगों को बदलने का क्याम किजे और एक मौका आप जो है ते जश्वी को देने का काम किजे बहुत बहुत आप सब लोगों का धन्यवाद अलाली की जलता हो जलता बाद
851200	873940	यहां हमारे साथ सभी पार्टी के महागरबंधन के नेता पदधिकारी कारिकरता और अरलॉली से जिनको आदर नियद लालू जी ने राहूल गांधी जी ने मुके सानी जी ने आईपी गुपता जी ने हम सब लोगों ने महागरबंधन का प्रत्याशी बनाया है
873940	886640	राम रिक्षदा जी और अरॉली की जितने यहां बुजूर्ग हैं अभिवावक हैं तेजेश्वी यही से पैर छू करके आप सब लोगों को पड़ाम करता है
886640	895920	माताएं बेहने को यही से नमश्कार करता है और नौजवान को यही से गले लगाता है
895920	907260	देगे चुनाओ का भिगुल जो है फुका गया है राम रिक्षदा जी को दुबारा पार्टी ने
907260	923860	राम रिक्षदा जी को पार्टी ने दुबारा टिकेट दिया है इंपर भरोसा जिताया है
923860	935100	आज तेजश्वी आप लोगों के बीच आया है आप लोगों से अपील कर दें के एक एक वोट जो है लाल टेन पर बटन दबा करके
935100	945840	राम रिक्षदा जी को जिताने का काम किजिए बहुत लोगों को नराज़गी हो सकती है खुशी हो सकती है
945840	953840	लेकिन जब तेजश्वी को भाजबा के नेता विधान सबा में मा बहन की गालिया दे रहते हैं
953840	958840	तो ये राम रिक्षदा सब से आगे खड़ा हो करके उनलोगों को मूँ तोर जवाब दे रहा था
958840	970480	इनसे कोई भी भूल चुक हुई हो इनके बदले तेजश्वी हाँ चोड़ करके माफी मागने का काम करता है
970480	983140	और हम देखे केवल सरकार बनाने के लिये नहीं केवल मुख्य मंत्री उप मुख्य मंत्री बनने के लिए विधायक बनने के लिए यह नहीं आये
983140	987160	तेज़ेश्टिवी को एक कसक है बिहारी होने के नाते
987160	991540	तेज़ेश्टिवी को बिहार
993060	998780	हमारी एक कसक है कि बिहार को तेज़िश्टिवी नंबर उन बनाने का काम करेगा
998780	1003680	केवल सरकार नहीं बनाना है
1003680	1009300	बलकि अलॉली खगडिया बिहार बनाने का काम करना है
1009300	1013740	कितना यहां किसान हमारे तबाह है
1013740	1017240	जुलाइ से लेकर के दिसंबर तक
1017240	1020740	जल जमाओं की सबसे बड़ी समस्या है
1020740	1022280	है कि लिए
1023320	1026680	किसानों को कितना मुश्बम होता कठिना ही होती है
1026680	1032220	आज टक कोई आया मुख्यमंतरी परधान मंतरी आप लोगो का सूध लने
1032220	1037180	तेजश्वी वादा करता है कि हमारी सरकार बनेगी
1037180	1041500	तो किसानों की जो जल जमाओं की समस्या होती है
1041500	1048940	अच्छे से निकासी यानि ड्रेनज सिस्टम की विवस्ता लौली में तेजश्वी कराने का काम करेगा
1048940	1053520	ताकि किसानों का आई दुगना हो अच्छे से फसल का उत्पादर हो
1053520	1057680	बताएए बीस साल से मुख्यमंतरी नितीश कुमार जी है
1057680	1064160	एक ग्यारा साल से देश के प्रधान मंतरी नरिंदर मोदी जी है
1064160	1071080	लेकिन बीस सालों में भी एक डिगरी का कॉलेज बतादो
1071080	1090340	भाष आपको कैसा लॉली चाहिए कि बाहर जानेवला की यहींद वीश दीगरी कॉलेज चाहिए
1093140	1097860	फ़र �
1097860	1108340	सांव द़ोक्टर डोक्टर नहीं दिखता होगा कहीं दवा नहीं मिलता होगा
1108340	1116480	तो जाई ये पटना रेफर हूई है कहीं कोई पढाई की मेवस्था नहीं दभाई की मेवस्था नहीं
1117060	1120160	कोनो कहाना खोल दिये क्या मोदी जी निती इसकुमार जी
1120160	1124500	अज दिल पे हाथ बताओ कितने लोग बेरोजगारे से नहीं हाथ उटागे बताइए
1124500	1128560	आज इस मन्च से तेज़ेश्वी कह रहा है
1128560	1132040	तेज़ेश्वी अगर मुक्यमंतरी बनेगा
1132040	1133680	बनाईएगा
1133680	1137100	अपने भाई बेटे को सम्भाल दिजेगा
1137100	1152400	और तेजैस्वी जब मुक्रि मंतरी बनेगा तो बिहार में जिस परिवार के पास सरकारी नौकरी नहीं है उस परिवार को एक सरकारी नौकरी तेजैस्वी दिलाने का काम करेगा
1152400	1158280	हम कहते थे 2020 पे की 10 लाख नौकरी देंगे
1158280	1161920	बेमानी से इन लोगों ने सरकार नहीं बनने दिया
1161920	1167760	लेकिन जब हम 17 महिने सरकार में आये
1167760	1172200	तो 5 लाख लोगों को सरकारी नौकरी देने का काम किया
1172200	1178020	सारे 4 लाख नियुजित सिक्षकों को राज के कर्मी का दरजा दिया
