start	end	text
0	25620	इस चुनावी जनसभा में मांच पर उपस्तेत आदरने राहूल गांधी जी भाई मुके सहनी जी आइपी गुपता जी राजा राम साहब जी और CPI-CPM के
25620	55620	हमारे नेता महागर्बंदन के सभी हमारे पददिकारी कारिकर्टा नेटागर्ण और सक्रा से आई हुए सभी भुज़ूर्ग अभिवावकों को तेजश्वी यही पैर शुकर के यही से पढ़ाम करता है आप लोगों चैंश्पर्श करता है जितनी बड़ी आतायं पाहने ब
55620	85620	और सभी हमारे नौजवान यूवा साथी को यही से तेजश्वी गले लगाने का काम करता है रुज़फर पूर जिले के सभी विधान सभाचेत्र से हमारे महागर्बंदन के पत्याशी यहां आए हुए आप सब लोगों से हम अपील करते हैं कि एक एक वोट महागर्बंदन
85620	94440	काम करें सक्रा की जन्ता जिन्दाबार बदलाओ चाहते हैं कि ने पदलाओ चाहते हाथ इधानर की बताइए
94440	102200	20 साल ये पुराना खटारा सरकार को आप बदलने का समय आ गया है
102200	111200	स्थिर पानी भी एक जगाए खटा हो जाए कुछ दिनों ताक तो सरने लगता है वो इस्तिती सरकार की हो गई है
111200	124520	किसान भाई जानते हैं कि एक ही ब्रेंड का बीज अगर 20 सालों तक खेट में रोपिएगा तो खेट जो है बंजर हो जाता है फसल नहीं आती है
124520	134420	अब समय आ गया है ने ब्रेंड का नया भीज रोपने का ताकि फसल भी अच्छी हो और आने वाल इन नसलों का भविश भी बेतर हो
134420	145520	देखिए हम राउल गांदी जी का स्वागत करते हैं इस सक्रा की धर्ति पर और हम सब लोग नहीं सोचके
145520	156080	के बल्हें बिहार बनाने का काम करना है बिहार बनाने का काम करना है
156720	168080	बिच साल से दिटीश कुमार जी बिहार के मुक्ह मंतरी है कितने साल से आवाज दूर अब बीच साल है कि नहीं है
168080	185400	और 11 साल से निरेंदर मोदी जी प्रभधान मत्री है की नहीं है साक्ड्रा को कुछ करखरन मिला है क्या पर यच्छा स्पाद मिला होगा लोगों को सरकारी नौकरी रोजगार मिला होगा
185880	191700	के नहीं मिला कुछ नहीं मिला। केवल घूस खोरी बढ़ी है की नहीं बढ़ी है।
199200	201840	और राशन में रिश्वत खोरी है की नहीं होरी।
201840	231840	बोलता है पांच किलो देता है तीन किलो विष्वत ले रहां कि ले ले राँ तो आप देखेंगा हर घर नल से जल भी अजिना में घूज़ खोरी दाखिल खारीच कराईए जमीन के रेजिस्ट्री कराईए उसमें घूज़ खोरी जातिये प्रमाइँ पत्र बनाएए उसमें �
231840	241440	सब्सक्राइब का होता हो यहीं मुदफ़कुर की बेटी 11 साल की बच्ची के साथ रेप कर दिया गया अस्पिताल में
241440	262680	चार घंते बेड़ नहीं मिला उसकी मौत हो जाती है यहीं है सुशाशन यहीं है अच्छे दिन क्या मिला अपने लोगों को बताओ कि जिद्धा कुछ मिला तो बता हो जो बीच साल में नहीं दिये अब पगला पांच साल में कहां से देंगे तेजेश्वी का एक
262680	278200	पिया था तेजेश्वी के मन एक दगरता है एक पीर हे तेजेश्वी को बेरोजगारी को हटयाना चाहता है कि कर Transit को में झाला चाहता
278200	290260	करना चाहता है है बिहार से पडलाइन को खाट्म करना चाहता है अब बिहार चाहता है नंबर वन बनाना चाहता है
290860	297880	कि एसली साल नितीज्जी के राज करने के बाद भी एक ग्यारा साल नरेंदर मोदी जी के राज
297880	319960	के बाद भी बिहार देश का सबसे गरीब राज है बिहार में सबसे ज़्यादा बेरोजगारी है नहेंगाई है प्रतिव्यक्ति आए सबसे कम अगर कहीं क्या है तो बिहार के लोगों का है पूरे देश में आप लोग एक मोग का तेजश्वी को दीजिएगा
319960	337300	हां आता करionedप सेटेश्वी से को शिकारत है क्या आपको शॉरात आप लेगाई तेश्वी से कूल शिकारत है एक मोग का मिलेगा तेश्वी में नुक्षण की है
337560	345440	तेश्वी में की है क्या नुक्सान तो एक मोग कर लोग दीजएगा एक मुलेगा एक मुलेगा
345440	357800	एक बोका मिलेगा तो नौकरी मिलेगी पक्की और तेजेश्वी आपके उमिदेटर लगाएगा छक्का
357800	371300	सरकार बलते ही 20 दिनों के अंदर कानून बनाया जाएगा कि जिस परिवार में सरकारी नौकरी नहीं है
371300	376060	उस परिवार में एक सरकारी नौकरी हम लोग देने का काम करेंगे
376060	384060	इतनी माता है मैंने बताएए बाल बच्चा के नौकरी लगे की चाहें की ना लगे की चाहें
384060	392060	मिलनों चाहिए ना एक बोका दीजे तेजश्वी ने जो कहा वो किया जो कह रहा है वो करेगा
392060	400400	पांच लाक नौकरी हम लोग ने दी सत्रे महिने में जब सरकार बनी सारे तीन लाक नौकरी प्रक्या धीन कराई
