start	end	text
0	13820	भारत मता की भारत मता की भारत मता की
13820	42700	मा गंगा माता अंबिका भवानी आ बाबा हरियर नाथ के इप पवित्र भूमी के हम प्रणाम करत्बाने
43820	71300	देश भक्त रत्ना डॉक्तर राजेंद्र प्रशाद लोकनायक जैप्रकाद नारायन भिगारी ठाकूर के इग गवरव उशाली भूमी पर
71300	77300	रावरा सब के अभिनंदन करत्बाने
77300	79300	बीर कुमर्शी जी की इस पावन धर्ति पर आप सभी जनता जनादन के दर्शन का आज मुझे सवभाग्य मिला है।
79300	101300	बीर कुमर्शी जी की इस पावन धर्ति पर आप सभी जनता
101300	107300	जनादन के दर्शन का आज मुझे सवभाग्य मिला है।
107300	119300	इतनी विशाल संख्या में हमारी बहने बेटियां आज हमें आशिरवात देने आई है।
119300	129300	नवजवानों का उच्छा तो देखते ही बनता है।
129300	143300	बिहार के मेरे भाई बेहनों और खिस्खास करके बिहार के मेरे नवजवानों
143300	149300	मैं आज आपको एक गारंटी देता हूं।
149300	157300	बिहार के मेरे नवजवानों आज मैं आपको एक गारंटी देता हूं।
159300	171300	आपका सपना ही आपका सपना ही मेरा संकल्प है।
173300	187300	नरेंद्र और नितीश आपके सपनों को पुरा करने में जुटे हैं।
187300	199300	बिहार में सूसासन से समरुद्ध की आत्रा अनवरत चलती रहे।
199300	214300	इसके लिए भाजपा एंडिये के इन सभी साथ्यों को विदान साभा जाना जरूरी है।
214300	228300	और इतलिए मैं आज इन सब के लिए आपके आशिरवाद मांगने के लिए आपके पास आया हूँ।
228300	251580	मेरे पुराने साथी, मेरे मित्र, राजीव प्रता मुझे भी बता रहे थे
251580	259580	के कई लंबे 48 गंटों से बारी दुम चल रही थी।
259580	270200	एक तरब दिवाली गई, छट पुजा का इतना पवित्रा महत्वपुन तोहार
270200	284200	और इतनी सारी मारिस, इसके बावजुद भी छप्रा का जो माहोल मैं देख रहा हूँ।
284200	296200	वो यही कह रहा है, फिर एक बार, NDA सरकार
296200	311260	फिर एक बार, फिर एक बार, फिर एक बार, बिहार मैं फिर से सूशासन सरकार
311260	320800	बावी और बहनों, छप्रा आना अनेक प्रेरणाओं से जुड़ने जैता है
320800	333880	यह धर्ती आस्ता की भी है, आंदोलन की भी है, और कला की भी है
339220	349700	इस मिट्टी में जादू है, जो शब्दों को भी जिवन्त बना देती है
349700	368700	बिखारी ठाकुर्जी ने इसी मिट्टी की महग, समाज के संगर्ष और लोग जिवन की पीड़ा को गीतों में पिरोया था
368700	383700	बोजपुरी और समाज की जो सेवा उन्होंने की वाने वाली हर पीड़ी को प्रेलित करती रहेगी
383700	390700	साथ्यों मैं भी पुर्वांचल का सांसद हूं
390700	411700	बनारसी बोलत बोलत अब हमरा के बोजपुर में कोनो दिक्कत ना होला
411700	420700	काफी कुछ अब समझ मैं आई गई बार
420700	432700	इसलिए साथ्यों जब मैं बोजपुरी का सम्मान देश और दुनिया में देखता हूं
432700	445700	तो गर्व से सिरूचा हो जाता है अभी कुछ महिने पहले ही मैं त्रिनीनाड और टोबे को गया था
445700	455700	बहुत दूर है ये देश जब मैं वहाँ एरपोर्ट पर उत्रा तो लगा
455700	469700	जैसे बनारत या छप्रा के गाट पर हूँ वहां के लोगों ने भोजपुरी चवताल से सब का स्वागत किया
469700	477020	बिहार और भोजपुरी से जुड़ा होने का गवराव अदभूत होता है
477020	484020	लेकिन साथियों मैं आपको ये भी याद दिलाना चाहता हूँ
484020	496820	कि लाल्टेन वाले हो पंजे वाले हो या उनके इंडी गड़बंदन के साथी
496820	506820	ये लोग कैसे बिहार और बिहारियों का अपमान करते हैं
508820	515820	कॉंग्रेस के पंजाब के एक मुक्यमंत्री थे
515820	525320	उन्होंने एक रेली में खुला एलान किया
525320	527820	ये जरा सुनिये हैं
527820	533020	कि पंजाब के कॉंग्रेस के मुक्यमंत्री ने
533020	536320	मुक्यमंत्री पद पर रहते हुए
536320	540820	ऐसा खुला एलान किया
540820	548820	कि बिहार के लोगों को वो अपने राज पंजाब में
548820	550820	गुसने नहीं देंगे
550820	558820	कॉंग्रेस के मुक्यमंत्री ने पंजाब में बातन किया
